#OTU ID	d16s1r1	d16s2r1	d16s2r2	d17s1r1	d17s2r1	d17s2r2	d18s1r1	d18s2r1	d18s2r2	d19s1r1	d19s2r1	d19s2r2	d20s1r1	d20s2r1	d20s2r2	d21s1r1	d21s2r1	d21s2r2	d22s1r1	d22s2r1	d22s2r2	d23s1r1	d23s2r1	d23s2r2	d24s1r1	d24s2r1	d24s2r2	d25s1r1	d25s2r1	d25s2r2	d26s1r1	d26s2r1	d26s2r2	d28s1r1	d28s2r1	d28s2r2	d29s1r1	d29s2r1	d29s2r2	d30s10r1	d30s11r1	d30s12r1	d30s13r1	d30s14r1	d30s1r1	d30s2r10	d30s2r11	d30s2r12	d30s2r1	d30s2r2	d30s2r3	d30s2r4	d30s2r5	d30s2r6	d30s2r7	d30s2r8	d30s2r9	d30s3r1	d30s4r1	d30s5r1	d30s6r1	d30s7r1	d30s8r1	d30s9r1	d31s1r1	d31s2r1	d31s2r2	d32s1r1	d32s2r1	d32s2r2	d33s1r1	d33s2r1	d33s2r2	d34as1r1	d34as2r1	d34as2r2	d34bs1r1	d34bs2r1	d34bs2r2	d35s1r1	d35s2r1	d35s2r2	d42s1r1	d42s2r1	d42s2r2	d63s1r1	d63s2r1	d63s2r2	spike1	spike2	spike3	spike4	STD	STDspike	taxonomy
1	8215	8263	11423	4107	4305	3908	2787	4329	2777	6851	6995	7847	5927	5869	8671	3390	3688	4209	4122	6084	5691	3849	3797	3014	4209	6822	9640	3063	4968	4443	11487	9918	6792	4755	5049	6202	6645	6735	5349	8320	6149	9307	5575	6972	6942	12066	13645	16580	14021	12467	10257	16050	11340	11396	13440	12074	18599	4528	6826	12310	9282	8659	5460	7981	7555	5140	5333	6216	7454	4656	7861	7094	9305	7258	9265	10186	5575	10462	8969	6130	8385	7366	2445	2478	2372	2784	3660	6026	53873	54374	54852	54657	129	13424	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 100%; Planococcaceae; 100%; Sporosarcina; 100%
2	3906	4034	3111	7183	9691	9990	8367	8093	8990	4613	5414	5191	11139	12069	10366	6886	7635	7186	7609	5312	6398	9065	9294	10304	9469	9683	7439	7237	6865	7277	4916	4124	4286	7311	5091	4802	5596	4452	3743	4102	4956	5327	2551	8281	9226	4510	3661	3960	5979	6067	5322	3617	4159	3801	3363	3631	3715	4325	3834	6827	2575	3749	5352	4640	5602	4803	5334	5253	5346	5435	3616	2466	1470	1357	8989	9382	9760	7913	8141	8841	9943	10631	8350	7154	5752	7750	8715	8086	187	111	18	41	12	14	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Roseburia; 99%
3	2221	2418	2256	2232	2303	2398	2439	2369	2650	2691	2928	2819	4309	4082	4176	2844	3336	3319	5273	4972	5593	4689	4634	4725	5984	5747	5433	6131	6522	7003	6648	7492	8930	5072	8405	8407	7873	7760	7616	7424	7459	7100	7726	5485	5124	7582	7196	6441	6210	6766	7524	6680	7377	7827	7371	7907	6644	7455	8667	5267	8037	7916	8167	7688	5683	5046	5902	5542	5067	5137	5596	4992	4434	6650	5274	5002	4525	4862	5060	4287	4023	4427	2576	2489	2605	4329	4127	4495	123	63	24	19	14	21	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
4	2763	3294	3067	2481	2571	2515	2639	2333	2441	2183	2183	2359	3663	3409	3464	1564	1992	1905	2103	2284	2473	2207	2114	2069	3518	3252	3221	3446	3938	3782	3869	4012	4773	2896	3877	3922	3352	3320	3477	3399	3871	3312	3368	3154	3177	3070	3068	2824	2769	3047	3427	2996	3748	3515	3069	3307	2633	3157	3201	2998	3321	3890	4052	3390	3695	3499	4021	2992	2521	2551	2721	2514	2345	3186	2962	2932	3041	3166	3531	4112	3077	3518	3015	3076	3190	3737	3924	4181	56	30	10	15	7	13	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 96%
5	553	503	378	622	623	654	715	871	842	1075	1203	1131	1520	1575	1623	548	629	647	929	941	1014	1193	967	1093	1751	1636	1656	1654	1821	1724	1837	2149	2405	1988	2051	2032	3661	3773	3956	3564	4378	3733	3408	3685	3843	3385	3488	3082	3192	3413	3826	3552	3826	3795	3408	3562	3056	3726	3705	3609	3842	4454	4779	3559	3355	3550	3538	4567	4375	4491	4553	4061	3982	5721	2690	2572	2575	2701	2824	2844	3453	3692	1775	1709	1855	2818	2666	2739	59	26	16	19	4	4	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
6	4504	2607	1599	6765	5376	5264	8558	9756	7845	8003	7433	7709	1495	3490	2899	5597	5112	6214	6188	6392	5630	5792	6521	6223	1554	1490	1857	4724	3001	2867	1203	758	559	3684	3411	3178	2894	2473	3206	4072	3192	1963	5236	1467	789	3076	2938	2410	2279	2343	2369	2118	2152	2532	2962	2856	2504	5310	4337	658	3415	2691	2551	3689	2869	3670	2859	5701	6511	7562	4347	5503	5544	2763	2230	2346	2866	1148	884	1685	1024	1081	4229	4906	5343	7991	10239	8637	91	56	10	23	0	7	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Faecalibacterium; 93%
7	1636	1924	1932	1737	1340	1475	1001	1422	1573	1585	1570	1680	2312	2041	2120	946	1449	1272	1313	1497	1690	1777	1471	1476	2624	2378	2451	2257	2533	2468	2062	3037	3434	2209	2939	2820	2290	2495	2342	2580	2961	2825	2058	2548	2528	2236	2260	2111	2286	2381	2130	2501	2879	2718	2335	2418	2077	1967	2369	2781	2067	2962	2976	2516	1686	1929	2131	2116	1834	1824	2520	2077	1939	3471	2455	2394	1792	2301	2745	2163	1956	1855	1514	1504	1532	1654	1169	1119	42	19	4	5	7	4	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Dorea; 98%
8	1552	1625	1227	2134	1789	1540	1755	928	1564	1357	1511	1538	2431	2312	2084	1256	1705	1335	1762	1394	1853	1675	1563	1643	2882	2625	2428	2501	3041	2346	2602	2752	3408	1598	2612	2201	1454	1521	1503	1587	1736	2038	1491	1454	1887	1408	1385	1548	1534	1421	1828	1247	1954	1641	1730	1602	1367	1685	1530	1693	1460	1898	1829	1602	2132	1546	2418	1703	1582	1534	2445	1857	1653	3254	2232	1772	1903	1699	2242	2573	1949	2038	2407	2066	2120	2042	2078	1698	33	19	2	5	2	1	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Collinsella; 100%"
9	4988	4517	5474	3829	2412	3605	1604	882	1224	909	1084	1122	4526	2102	2527	2966	2991	4288	1592	1311	1801	1635	1398	1626	1607	1163	1315	1880	1438	1908	1440	1023	1254	2841	2650	2501	1502	1362	1580	1075	1390	1217	923	1353	1057	1185	1542	1226	949	1516	1237	1042	1314	1219	1269	1375	1252	1341	1063	902	1021	1306	1415	1582	2211	1803	2246	1716	1619	1907	1117	700	773	792	1330	1834	2036	1561	1822	3462	2683	2688	1337	1443	1508	1157	999	1498	31	27	2	7	3	5	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Anaerostipes; 100%
10	822	333	278	626	729	654	640	1199	1147	1517	1415	1655	763	884	1015	634	583	548	1041	1219	1108	1873	1402	1736	1962	1539	1751	2333	2781	2600	1982	1668	1718	1188	1242	1424	1729	1879	2206	1294	1860	1252	1372	735	419	1103	1134	982	1541	1361	1322	1164	1462	1391	1202	1291	919	1408	1571	483	1572	1051	1660	1349	1045	1265	1320	1700	1794	2196	2831	2619	2692	1987	545	498	781	522	471	1133	706	825	2163	1710	2043	3712	3884	3502	34	12	3	6	1	5	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Gemmiger; 76%
